"X","title","console","genre","critic_score","total_sales"
314,"Madden NFL 12","X360","Sports",7.8,2.7
315,"Call of Duty 3","X360","Shooter",8,2.7
316,"LEGO Star Wars II: The Original Trilogy","PS2","Action",8.4,2.69
317,"Madden NFL 11","X360","Sports",8.3,2.69
318,"Burnout 3: Takedown","PS2","Racing",9.3,2.68
320,"Medal of Honor","PS","Shooter",9.3,2.67
321,"Call of Duty 2: Big Red One","PS2","Shooter",8.5,2.67
322,"Final Fantasy XIII-2","PS3","Role-Playing",8.3,2.66
323,"Medal of Honor Heroes","PSP","Shooter",6.7,2.66
324,"Guitar Hero: World Tour","X360","Misc",8.6,2.66
327,"Need for Speed: Shift","PS3","Racing",8.2,2.65
328,"Hannah Montana","DS","Action",6.5,2.65
329,"Medal of Honor","X360","Shooter",7.3,2.64
330,"NBA 2K12","X360","Sports",9.1,2.64
333,"NBA 2K13","PS3","Sports",8.9,2.63
334,"FIFA Soccer 10","X360","Sports",8.9,2.62
336,"Madden NFL 18","PS4","Sports",8.2,2.62
337,"LittleBigPlanet","PSP","Platform",8.8,2.61
339,"Grand Theft Auto: Episodes from Liberty City","X360","Adventure",9,2.6
341,"FIFA Soccer 09","PS3","Sports",8.6,2.59
345,"WWE SmackDown vs. RAW 2007","PS2","Fighting",8,2.58
349,"Dragon Age: Origins","X360","Role-Playing",8.5,2.56
351,"FIFA 16","PS3","Sports",9,2.55
352,"Madden NFL 09","X360","Sports",8.5,2.54
353,"Crazy Taxi","PS2","Racing",8.2,2.52
354,"Tomb Raider (2013)","PS3","Action",8.9,2.51
355,"Midnight Club: Los Angeles","PS3","Racing",8.3,2.5
357,"Marvel: Ultimate Alliance","X360","Role-Playing",8.3,2.5
358,"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","XB","Action",9.8,2.49
359,"Mortal Kombat: Deadly Alliance","PS2","Fighting",8.2,2.49
360,"Game Party","Wii","Misc",2.6,2.49
362,"Saints Row: The Third","PS3","Action",8.3,2.48
364,"Madden NFL 16","XOne","Sports",8.4,2.47
365,"Rock Band","X360","Misc",9.1,2.47
368,"Pure","X360","Racing",8.3,2.47
369,"LEGO Harry Potter: Years 1-4","Wii","Adventure",7.9,2.45
371,"Madden NFL 17","XOne","Sports",8.1,2.44
372,"Twisted Metal 2","PS","Racing",8.7,2.44
375,"Tom Clancy's Rainbow Six: Vegas 2","X360","Shooter",8.2,2.42
376,"Sonic Adventure","DC","Platform",8.9,2.42
377,"Need for Speed Carbon: Own the City","PSP","Racing",7.4,2.42
378,"Halo: Combat Evolved Anniversary","X360","Shooter",8,2.41
379,"Kinect: Disneyland Adventures","X360","Action-Adventure",8.5,2.41
381,"Pro Evolution Soccer 2011","PS3","Sports",6,2.41
382,"NBA 2K16","XOne","Sports",8.3,2.41
383,"ATV Offroad Fury","PS2","Racing",8.4,2.41
386,"Midnight Club: Los Angeles","X360","Racing",8,2.4
388,"Madden NFL 11","PS3","Sports",8.4,2.4
389,"Theme Hospital","PC","Strategy",5.5,2.4
391,"Frogger's Adventures: Temple of the Frog","GBA","Adventure",6.7,2.39
394,"Dead Island","X360","Action",7,2.38
396,"The Incredibles","PS2","Action",5.9,2.37
397,"Madden NFL 10","PS3","Sports",8.5,2.37
398,"Madden NFL 08","X360","Sports",8.7,2.37
400,"Sonic's Ultimate Genesis Collection","PS3","Misc",8.1,2.36
402,"LEGO Indiana Jones: The Original Adventures","Wii","Adventure",7.8,2.35
405,"Dragon Age: Inquisition","PS4","Role-Playing",8.6,2.34
406,"Kinect Sports: Season Two","X360","Sports",6.6,2.33
407,"Madden NFL 25","X360","Sports",7.8,2.33
408,"Grand Theft Auto","PS","Action",6,2.32
409,"My Fitness Coach","Wii","Sports",7.1,2.32
410,"Assassin's Creed IV: Black Flag","XOne","Action",8.3,2.32
413,"The Sims 3","X360","Simulation",8,2.31
414,"LEGO Star Wars: The Complete Saga","PS3","Action",8,2.31
416,"Dead Island","PS3","Action",6.7,2.29
417,"Tomb Raider II","PC","Adventure",8.2,2.29
418,"LEGO Harry Potter: Years 1-4","DS","Adventure",8,2.29
419,"Pro Evolution Soccer 2010","PS3","Sports",7,2.28
420,"Need for Speed Underground 2","XB","Racing",8,2.28
422,"Madden NFL 12","PS3","Sports",7.8,2.27
425,"No Man's Sky","PS4","Action-Adventure",6.8,2.26
427,"Guitar Hero III: Legends of Rock","PS3","Misc",8.2,2.25
431,"Call of Duty 3","Wii","Shooter",6.8,2.24
435,"Prince of Persia: The Sands of Time","PS2","Adventure",9,2.22
438,"Star Wars: The Force Unleashed","PS3","Action",6.8,2.22
440,"Guitar Hero II","X360","Misc",9.2,2.21
442,"Rock Band 2","X360","Misc",9.2,2.2
444,"Need for Speed: Hot Pursuit","X360","Racing",8.8,2.2
445,"BioShock 2","X360","Shooter",8.6,2.2
447,"High School Musical: Makin' the Cut!","DS","Puzzle",7.3,2.2
448,"FIFA 15","XOne","Sports",7.9,2.19
450,"Pro Evolution Soccer 2012","PS3","Sports",7.5,2.19
451,"Star Wars: Knights of the Old Republic","XB","Role-Playing",9.4,2.19
452,"Final Fantasy XIII","X360","Role-Playing",8.1,2.19
454,"Need for Speed: Payback","PS4","Racing",5.8,2.18
455,"ATV Offroad Fury 2","PS2","Racing",8.7,2.18
459,"Your Shape featuring Jenny McCarthy","Wii","Sports",6,2.16
464,"Call of Duty: Roads to Victory","PSP","Shooter",6.1,2.14
465,"SimCity 2000","PC","Simulation",8,2.14
466,"NBA 2K12","PS3","Sports",9,2.13
469,"Borderlands","PS3","Shooter",8.2,2.12
470,"Mortal Kombat (2011)","X360","Fighting",8.6,2.12
471,"Tony Hawk's Pro Skater","N64","Sports",9.3,2.11
472,"Need for Speed: Hot Pursuit 2","PS2","Racing",8.7,2.11
473,"PES 2009: Pro Evolution Soccer","PS3","Sports",7.7,2.11
474,"NBA 2K11","X360","Sports",8.8,2.11
479,"Grand Theft Auto: Episodes from Liberty City","PS3","Adventure",9,2.09
480,"Need for Speed: Most Wanted 5-1-0","PSP","Racing",7.4,2.09
483,"Metal Gear Solid: Peace Walker","PSP","Action",8.6,2.08
484,"Rock Band","Wii","Misc",8.2,2.08
485,"Sim Theme Park","PC","Strategy",8.1,2.08
487,"Portal 2","X360","Shooter",9.6,2.08
488,"UFC 2009 Undisputed","X360","Fighting",8.4,2.07
492,"The Sims 2: Pets","DS","Simulation",4.8,2.07
493,"Call of Duty 2","X360","Shooter",8.8,2.06
494,"R4: Ridge Racer Type 4","PS","Racing",9.1,2.06
495,"The Incredibles","GBA","Action",5.4,2.06
498,"Tom Clancy's Splinter Cell: Conviction","X360","Action",8.6,2.06
499,"Need for Speed: Undercover","PS3","Racing",5.9,2.06
501,"Dark Souls","PS3","Role-Playing",9,2.05
502,"Mortal Kombat vs DC Universe","PS3","Fighting",7.6,2.05
504,"Need for Speed: ProStreet","X360","Racing",7.1,2.05
507,"Dragon Quest XI: Echoes of an Elusive Age","PS4","Role-Playing",9.5,2.04
508,"PGR4 - Project Gotham Racing 4","X360","Racing",8.6,2.04
509,"Need for Speed: ProStreet","PS3","Racing",7.2,2.04
510,"NBA 2K17","XOne","Sports",8.8,2.04
511,"Dance Central 2","X360","Music",8.6,2.04
515,"Madden NFL 25","PS3","Sports",7.5,2.04
518,"Rayman Raving Rabbids: TV Party","Wii","Misc",7.1,2.03
519,"The Sims 3","PS3","Simulation",8.1,2.03
520,"NBA 2K18","XOne","Sports",7.7,2.02
521,"Rocket League","PS4","Sports",8.7,2.02
522,"Just Dance 3","X360","Misc",5.5,2.02
523,"Need for Speed: The Run","PS3","Racing",6.3,2.01
525,"TouchMaster","DS","Puzzle",6.9,2
526,"Dead Space","PS3","Shooter",8.9,2
527,"Tenchu: Stealth Assassins","PS","Action",8.8,1.99
528,"Harry Potter and the Chamber of Secrets","GBA","Adventure",7.2,1.99
529,"Mortal Kombat vs DC Universe","X360","Fighting",7.6,1.99
531,"Just Cause 3","PS4","Action-Adventure",7.5,1.98
537,"Hot Shots Golf: Open Tee","PSP","Sports",8.4,1.96
541,"Tom Clancy's Rainbow Six: Vegas","X360","Shooter",8.8,1.95
542,"Grand Theft Auto: San Andreas","XB","Action",9.2,1.95
545,"Burnout Paradise","PS3","Racing",9,1.95
548,"Call of Duty: World at War","Wii","Shooter",8.1,1.94
553,"FIFA Soccer 09","X360","Sports",8.7,1.94
554,"X-Men Legends","PS2","Role-Playing",8.6,1.93
558,"The Legend of Zelda: Oracle of Ages","GBC","Adventure",9.4,1.92
559,"Guitar Hero: World Tour","PS3","Misc",8.5,1.92
561,"Red Faction","PS2","Shooter",9.1,1.92
564,"Madden NFL 18","XOne","Sports",8.8,1.91
565,"Need for Speed: Shift","X360","Racing",8.2,1.91
566,"Star Wars Rogue Leader: Rogue Squadron II","GC","Simulation",9.2,1.9
567,"Tomb Raider (2013)","X360","Action",8.5,1.9
570,"Madden NFL 09","PS3","Sports",8.6,1.89
572,"Minecraft","NS","Sandbox",9.2,1.89
574,"Mortal Kombat: Deception","PS2","Fighting",7.4,1.88
578,"FIFA 2000","PS","Sports",8.8,1.87
580,"inFAMOUS 2","PS3","Action",8.1,1.87
581,"SingStar","PS2","Misc",8,1.86
582,"The Legend of Dragoon","PS","Role-Playing",7.8,1.86
583,"Sonic Classic Collection","DS","Platform",7.5,1.86
584,"The Legend of Zelda: Oracle of Seasons","GBC","Adventure",9.3,1.86
585,"The Evil Within","PS4","Action",7.7,1.86
586,"Shrek 2","PS2","Platform",6.9,1.86
587,"Star Wars: The Force Unleashed","Wii","Action",6.8,1.86
593,"Forza Horizon 4","XOne","Racing",9.2,1.84
594,"Rayman Raving Rabbids 2","Wii","Misc",6.6,1.84
599,"The Elder Scrolls V: Skyrim Special Edition","XOne","Role-Playing",8.1,1.83
601,"BioShock Infinite","PS3","Shooter",9.5,1.82
604,"The Orange Box","X360","Shooter",9.7,1.82
607,"Crazy Taxi","DC","Racing",9.3,1.81
615,"LEGO Star Wars III: The Clone Wars","Wii","Action",7.5,1.79
620,"Far Cry 5","XOne","Action",7.2,1.78
622,"State of Emergency","PS2","Action",8,1.76
625,"UFC 2009 Undisputed","PS3","Fighting",8.4,1.76
627,"The SpongeBob SquarePants Movie","PS2","Platform",6.6,1.76
632,"High School Musical: Sing It!","Wii","Misc",6.4,1.76
634,"Just Cause 2","PS3","Action",8.3,1.75
641,"FIFA Soccer 08","PS3","Sports",8.5,1.75
647,"Crash Bandicoot: The Huge Adventure","GBA","Platform",8.3,1.73
648,"Twisted Metal III","PS","Action",4.4,1.73
650,"SSX Tricky","PS2","Sports",9.2,1.73
652,"Call of Duty: World at War Final Fronts","PS2","Shooter",6.8,1.72
658,"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","PS2","Action",9.7,1.72
659,"Titanfall 2","PS4","Shooter",8.9,1.72
662,"The Beatles: Rock Band","Wii","Misc",9,1.71
663,"Portal 2","PS3","Shooter",9.6,1.71
666,"Call of Duty: Modern Warfare 3","PC","Shooter",8,1.71
667,"Call of Duty Black Ops: Declassified","PSV","Shooter",3.2,1.71
670,"Cabela's Big Game Hunter 2010","Wii","Sports",5.5,1.7
673,"NCAA Football 07","PS2","Sports",8.9,1.7
674,"The Sims 3: Late Night Expansion Pack","PC","Simulation",7.5,1.69
678,"Harry Potter and the Sorcerer's Stone","GBA","Action",6.6,1.69
683,"Dragon Ball Z: The Legacy of Goku","GBA","Role-Playing",6.5,1.69
684,"Need for Speed: Undercover","X360","Racing",6.3,1.69
685,"Star Wars Battlefront: Renegade Squadron","PSP","Shooter",7.5,1.68
686,"Time Crisis","PS","Shooter",8.5,1.68
688,"Far Cry 4","XOne","Shooter",8.5,1.68
690,"Saints Row 2","PS3","Action",7.9,1.68
691,"Dragon Age: Origins","PS3","Role-Playing",8.7,1.67
